"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
NA,"الأهرام",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,2,"alahram"
NA,"الإصلاح",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,2,"alaSla7"
NA,"البلاغ",NA,NA,644997575,"Dimashq","33.5102, 36.29128",3,3,"alblaG"
NA,"الجورنال",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"aljwrnal"
NA,"الحق يعلو",NA,NA,644997575,"Dimashq","33.5102, 36.29128",3,2,"al7Q y3lw"
NA,"الحياة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,4,"al7ya0"
NA,"الديلي",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"aldyly"
NA,"الرصافة",NA,NA,472450345,"Baghdād","33.34058, 44.40088",3,2,"alrSaf0"
NA,"الرياض",NA,NA,472450345,"Baghdād","33.34058, 44.40088",3,1,"alryaD"
NA,"الزرقاء",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"alzrQaq"
NA,"الزهور",NA,NA,472450345,"Baghdād","33.34058, 44.40088",3,2,"alzhwr"
NA,"الطبيعة",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"alTby30"
NA,"الظاهر",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",3,3,"alZahr"
NA,"العالمين",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"al3almyn"
NA,"القسطاس",NA,NA,472450345,"Baghdād","33.34058, 44.40088",3,3,"alQsTas"
NA,"المجلات",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"almjlat"
NA,"المجلة الآسياوية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"almjl0 alasyawy0"
NA,"المفتاح",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"almfta7"
NA,"المنبر",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",3,3,"almnbr"
NA,"الهدى",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",3,2,"alhdA"
NA,"بغداد",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,1,"bGdad"
NA,"حمص",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,2,"7mS"
NA,"شورا",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"Wwra"
NA,"صباح",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"Sba7"
NA,"مجلة التربية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"mjl0 altrby0"
NA,"وكيل",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"wkyl"
NA,"يكي غزته",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,3,"yky Gzth"
42900564,"الاتحاد العثماني","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alat7ad al3Umany"
42900564,"الاتحاد العثماني","Bayrūt","33.88894, 35.49442",644997575,"Dimashq","33.5102, 36.29128",2,2,"alat7ad al3Umany"
472450345,"لغة العرب","Baghdād","33.34058, 44.40088",4770057679,"Dimashq","33.5102, 36.29128",2,2,"lG0 al3rb"
472961896,"مجلة المجلات","Paris","48.85341, 2.3488",4770057679,"Dimashq","33.5102, 36.29128",2,2,"mjl0 almjlat"
792754974,"البيان","al-Qāhira","30.06263, 31.24967",472450345,"Baghdād","33.34058, 44.40088",2,2,"albyan"
792754974,"البيان","al-Qāhira","30.06263, 31.24967",4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"albyan"
792755902,"المؤيد","al-Qāhira","30.06263, 31.24967",4770057679,"Dimashq","33.5102, 36.29128",2,2,"almoyd"
